tablet_num	subject	relation_type	object	subject_tag	object_tag
P136355	a2-ni-a2	dumu	ur-mes	PN	PN
P136356	sze-ba	dam	dumu	N	N
P136356	dam	dumu	e2	N	N
P136356	dub-sar	dumu	lugal-kal-la	N	PN
P136359	x-al-i3-li2	dumu	szu-ma-ma	PN	PN
P136360	mu-ni-im	dumu	sa12-rigx(|PA.MUNUS.HUB2.DU|)	N	V
P136360	sza-at-i3-li2	dam	...-kam	PN	NU
P136360	lu2-{d}suen	dumu	um-mi-a	PN	N
P136362	en-nam-i3-li2	dumu	ku-za-a	PN	PN
P136362	ma-ga-ru-um	dumu	ur-li	PN	PN
P136362	i-di3-e3-a	dumu	szu-i3-li2	PN	PN
P136362	ur-gu	dumu	ur-sukkal	PN	PN
P136363	dub-sar	dumu	x-...	N	PN
P136367	nin9-ab	dumu	du11-ga-zi-da	PN	PN
P136368	lu2-sukkal	dumu	lu2-ne	N	PN
P136368	gub-ba-...	dumu	lu2-...	PN	PN
P136399	dub-sar	dumu	ur-zigum-ma	N	PN
P136405	dub-sar	dumu	ur-zigum-ma	N	PN
P136406	dub-sar	dumu	ur-zigum-ma	N	PN
P136408	dub-sar	dumu	lugal-a-ni-sa6	N	PN
P136410	geme2-{d}szul-gi-ra	dam	1(disz)	PN	NU
P136410	geme2-e2-e11	dumu-munus	1(disz)	PN	NU
P136410	dingir-in-na-kam	dumu-munus	1(disz)	PN	NU
P136410	nam-nin-e-ba-ab-du7	dumu-munus	dam	PN	N
P136410	dumu-munus	dam	dumu	N	N
P136410	dam	dumu	ur-nigar{gar}-me-esz2	N	PN
P136412	u3	dam	dumu-na-da	CNJ	PN
P136412	dub-sar	dumu	a-hu-ni	N	PN
P136437	tu-ki-PA-mi-ig-ri-sza	dumu-munus	lugal	PN	N
P136438	mu	dumu-munus	lugal	N	N
P136439	mu	dumu-munus	lugal	N	N
P136440	mu	dumu-munus	lugal	N	N
P136441	esz3-lam-x	dumu	da-x-...	PN	PN
P136442	mu	dumu-munus	lugal	N	N
P136444	mu	dumu-munus	lugal	N	N
P136447	mu	dumu-munus	lugal	N	N
P136448	mu	dumu-munus	lugal	N	N
P136450	mu	dumu-munus	lugal	N	N
P136451	mu	dumu-munus	lugal	N	N
P136452	mu	dumu-munus	lugal	N	N
P136453	mu	dumu-munus	lugal	N	N
P136454	mu	dumu-munus	lugal	N	N
P136455	mu	dumu-munus	lugal	N	N
P136456	mu	dumu-munus	lugal	N	N
P136457	mu	dumu-munus	lugal	N	N
P136463	mu	dumu-munus	lugal	N	N
P136464	mu	dumu-munus	lugal	N	N
P136465	mu	dumu-munus	lugal	N	N
P136466	us2-sa	dumu-munus	lugal	V	N
P136473	sa2-du11	dam	da-a-a	N	PN
P136473	sa2-du11	e2-gi4-a	3(asz)	N	NU
P136473	ku3-{d}nin-gal	dumu	la-a-la-a	PN	PN
P136476	esza	e2-gi4-a	a2	N	N
P136477	ur-ku3-nun-na	dumu	lu2-nin-ga2-ka	PN	PN
P136477	dub-sar	dumu	ur-{d}...	N	PN
P136487	dub-sar	dumu	a-hu-ni	N	PN
P136562	dub-sar	dumu	...	N	PN
P136563	dub-sar	dumu	{me}imma-sag	N	PN
P136566	nin-ad-da	dam	gi-IGI-...	PN	o.5.1
P136567	ta2-di3-ki-za	dam	da-a-a	PN	PN
P136567	dub-sar	dumu	sipa-sag-zi	N	PN
P136573	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P136575	ku3-{d}nanna	dumu	da-a-a	PN	PN
P136589	szu-i3-li2	dumu	ba-...	PN	PN
P136589	ur-nigar	dumu	inim-{d}szara2	PN	PN
P136589	a-mu-a	dumu	ur-lu-a-...	PN	PN
P136589	giri3-ni-i3-sa6	dumu	sukkal-mah	PN	PN
P136589	szabra	nin	{d}nanna-dalla	N	PN
P136590	{d}nanna-ku3-zu	dumu	lu2-sa6-ta	PN	PN
P136621	mu	dumu	lugal	N	N
